neighborhood_municipality,infections,reinfections,deaths,hospitalizations,pcr_tests,positive_pcr_tests,update_date
Sewickley Hills,658,61,0,4,1139,139,2023-04-03
Shadyside (Pittsburgh),27144,1946,27,118,62561,3948,2023-04-03
Shaler,31417,3810,62,353,48194,6638,2023-04-03
Sharpsburg,3912,433,10,64,6333,740,2023-04-03
Sheraden (Pittsburgh),6743,776,11,75,10510,1562,2023-04-03
South Fayette,29698,3624,67,128,34420,4428,2023-04-03
South Oakland (Pittsburgh),3767,319,6,34,9140,869,2023-04-03
South Park,15765,1674,19,134,23703,3378,2023-04-03
South Shore (Pittsburgh),364,24,0,1,778,76,2023-04-03
South Versailles,463,48,3,13,621,94,2023-04-03
Southside Flats (Pittsburgh),22992,1751,17,76,48192,2484,2023-04-03
Southside Slopes (Pittsburgh),5460,777,2,31,9203,1166,2023-04-03
Spring Garden (Pittsburgh),835,108,2,12,1378,188,2023-04-03
Spring Hill-City View (Pittsburgh),5664,821,15,67,9461,787,2023-04-03
Springdale Borough,3901,365,16,67,5780,822,2023-04-03
Springdale Township,1892,167,3,34,2955,414,2023-04-03
Squirrel Hill North (Pittsburgh),23104,1235,11,44,78629,2857,2023-04-03
Squirrel Hill South (Pittsburgh),31068,3068,53,182,68388,4811,2023-04-03
St. Clair (Pittsburgh),251,17,1,3,474,47,2023-04-03
Stanton Heights (Pittsburgh),6920,652,21,73,11362,1297,2023-04-03
Stowe,8503,1200,16,103,12552,1787,2023-04-03
Strip District (Pittsburgh),3146,501,2,8,6710,588,2023-04-03
Summer Hill (Pittsburgh),1343,194,3,12,1822,261,2023-04-03
Swisshelm Park (Pittsburgh),1394,94,4,16,3194,314,2023-04-03
Swissvale,11043,1313,11,143,20779,2468,2023-04-03
Tarentum,6440,1007,7,91,8677,1169,2023-04-03
Terrace Village (Pittsburgh),3221,479,5,44,6473,662,2023-04-03
Thornburg,638,76,0,2,987,126,2023-04-03
Trafford,49,5,0,1,66,6,2023-04-03
Troy Hill (Pittsburgh),3141,272,6,31,6163,732,2023-04-03
Turtle Creek,6999,900,21,112,10805,1370,2023-04-03
Undefined,27323,2092,69,203,101719,4115,2023-04-03
Undefined (Pittsburgh),58,0,0,0,90,12,2023-04-03
Upper Hill (Pittsburgh),3261,414,6,38,5095,588,2023-04-03
Upper Lawrenceville (Pittsburgh),3805,459,3,23,6850,668,2023-04-03
Upper Saint Clair,31216,3325,39,126,54786,5193,2023-04-03
